Head south, continue for 89.3 meters and taking about 64.3 seconds.
Turn left, continue for 2.8 meters and taking about 2.0 seconds.
Turn right, continue for 107.4 meters and taking about 77.3 seconds.
Turn right, continue for 7.7 meters and taking about 5.5 seconds.
Turn slight right, continue for 91.0 meters and taking about 65.5 seconds.
Turn right, continue for 8.8 meters and taking about 6.3 seconds.
Turn slight right, continue for 3.0 meters and taking about 2.2 seconds.
Turn slight left, continue for 199.9 meters and taking about 144.0 seconds.
Turn slight left, continue for 163.9 meters and taking about 118.0 seconds.
Turn right, continue for 25.1 meters and taking about 18.1 seconds.
Turn left, continue for 2.9 meters and taking about 2.1 seconds.
Turn right, continue for 50.7 meters and taking about 36.5 seconds.
Turn right, continue for 12.7 meters and taking about 9.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
