Head west, continue for 207.9 meters and taking about 149.7 seconds.
Turn right, continue for 590.4 meters and taking about 425.1 seconds.
Keep left, continue for 96.5 meters and taking about 69.5 seconds.
Keep left, continue for 76.3 meters and taking about 54.9 seconds.
Turn left, continue for 155.7 meters and taking about 112.1 seconds.
Continue straight, continue for 9.7 meters and taking about 7.0 seconds.
Turn left, continue for 65.6 meters and taking about 47.2 seconds.
Turn slight right, continue for 23.2 meters and taking about 16.7 seconds.
Keep right, continue for 46.0 meters and taking about 33.1 seconds.
Continue straight, continue for 48.4 meters and taking about 34.8 seconds.
Turn left, continue for 144.6 meters and taking about 104.1 seconds.
Turn right, continue for 11.0 meters and taking about 7.9 seconds.
Turn left, continue for 14.6 meters and taking about 10.5 seconds.
Turn slight right, continue for 138.7 meters and taking about 99.8 seconds.
Turn right, continue for 52.9 meters and taking about 38.1 seconds.
Turn left onto Willcocks Street on Willcocks Street, continue for 163.4 meters and taking about 117.6 seconds.
Turn right, continue for 9.2 meters and taking about 6.7 seconds.
Turn left, continue for 23.6 meters and taking about 17.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
