Head east, continue for 1154.9 meters and taking about 831.5 seconds.
Turn right, continue for 88.4 meters and taking about 63.7 seconds.
Turn left, continue for 52.1 meters and taking about 37.5 seconds.
Turn right, continue for 249.7 meters and taking about 179.8 seconds.
Keep right, continue for 253.9 meters and taking about 182.8 seconds.
Turn left, continue for 27.0 meters and taking about 19.4 seconds.
Turn right, continue for 73.2 meters and taking about 52.7 seconds.
Keep right, continue for 46.1 meters and taking about 33.2 seconds.
Keep right, continue for 27.8 meters and taking about 20.0 seconds.
Turn sharp left, continue for 3.5 meters and taking about 2.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
