Head south, continue for 12.7 meters and taking about 9.2 seconds.
Turn right, continue for 4.9 meters and taking about 3.5 seconds.
Turn left onto Perth Avenue on Perth Avenue, continue for 7.5 meters and taking about 5.4 seconds.
Turn right, continue for 5.3 meters and taking about 3.8 seconds.
Turn left, continue for 21.0 meters and taking about 15.1 seconds.
Turn right, continue for 273.4 meters and taking about 196.9 seconds.
Turn left, continue for 304.4 meters and taking about 219.2 seconds.
Turn right, continue for 17.2 meters and taking about 12.4 seconds.
Turn right, continue for 2.5 meters and taking about 1.8 seconds.
Turn left, continue for 366.9 meters and taking about 264.2 seconds.
Turn left, continue for 40.2 meters and taking about 29.0 seconds.
Turn right, continue for 4.7 meters and taking about 3.4 seconds.
Turn left onto Neepawa Avenue on Neepawa Avenue, continue for 43.4 meters and taking about 31.3 seconds.
Turn right, continue for 4.3 meters and taking about 3.1 seconds.
Turn slight left, continue for 156.7 meters and taking about 112.8 seconds.
Turn left, continue for 24.8 meters and taking about 17.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
