Head west, continue for 31.8 meters and taking about 22.9 seconds.
Keep right, continue for 318.8 meters and taking about 229.5 seconds.
Keep right, continue for 238.6 meters and taking about 171.8 seconds.
Turn left, continue for 156.3 meters and taking about 112.5 seconds.
Turn right, continue for 3.4 meters and taking about 2.4 seconds.
Turn left onto Kimberley Avenue on Kimberley Avenue, continue for 46.5 meters and taking about 33.5 seconds.
Turn right onto Lyall Avenue on Lyall Avenue, continue for 91.7 meters and taking about 66.1 seconds.
Turn left onto Main Street on Main Street, continue for 2.2 meters and taking about 1.6 seconds.
Turn right, continue for 6.1 meters and taking about 4.4 seconds.
Turn left, continue for 160.8 meters and taking about 115.8 seconds.
Turn right, continue for 10.4 meters and taking about 7.5 seconds.
Turn left, continue for 18.0 meters and taking about 13.0 seconds.
Turn right, continue for 599.3 meters and taking about 431.5 seconds.
Turn left onto Kenilworth Avenue on Kenilworth Avenue, continue for 287.8 meters and taking about 207.2 seconds.
Turn right, continue for 7.3 meters and taking about 5.2 seconds.
Turn left, continue for 6.4 meters and taking about 4.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
