Head north, continue for 370.9 meters and taking about 267.1 seconds.
Turn left, continue for 185.5 meters and taking about 133.5 seconds.
Turn right, continue for 3.0 meters and taking about 2.2 seconds.
Turn left onto Springdale Boulevard on Springdale Boulevard, continue for 6.3 meters and taking about 4.5 seconds.
Turn right onto Woodmount Avenue on Woodmount Avenue, continue for 79.7 meters and taking about 57.4 seconds.
Turn left, continue for 4.4 meters and taking about 3.1 seconds.
Turn right, continue for 2.8 meters and taking about 2.0 seconds.
Turn left onto Queensdale Avenue on Queensdale Avenue, continue for 196.4 meters and taking about 141.4 seconds.
Turn right onto Glebemount Avenue on Glebemount Avenue, continue for 77.4 meters and taking about 55.8 seconds.
Turn left, continue for 3.3 meters and taking about 2.4 seconds.
Turn right, continue for 165.6 meters and taking about 119.2 seconds.
Turn slight left, continue for 3.2 meters and taking about 2.3 seconds.
Turn right, continue for 12.4 meters and taking about 8.9 seconds.
Turn left, continue for 161.9 meters and taking about 116.5 seconds.
Keep left, continue for 46.8 meters and taking about 33.7 seconds.
Keep left, continue for 18.2 meters and taking about 13.1 seconds.
Keep left, continue for 13.4 meters and taking about 9.6 seconds.
Turn right, continue for 135.7 meters and taking about 97.7 seconds.
Turn slight left, continue for 64.9 meters and taking about 46.7 seconds.
Keep right, continue for 10.5 meters and taking about 7.6 seconds.
Turn right onto Crestland Avenue on Crestland Avenue, continue for 6.6 meters and taking about 4.8 seconds.
Turn left onto Barker Avenue on Barker Avenue, continue for 76.9 meters and taking about 55.4 seconds.
Turn right, continue for 161.4 meters and taking about 116.2 seconds.
Keep left, continue for 10.6 meters and taking about 7.7 seconds.
Turn left onto Virginia Avenue on Virginia Avenue, continue for 3.7 meters and taking about 2.7 seconds.
Turn right onto Fairside Avenue on Fairside Avenue, continue for 76.8 meters and taking about 55.3 seconds.
Turn left, continue for 76.7 meters and taking about 55.2 seconds.
Keep right, continue for 20.4 meters and taking about 14.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
