Head north, continue for 219.8 meters and taking about 158.3 seconds.
Keep right, continue for 17.4 meters and taking about 12.5 seconds.
Turn right, continue for 36.1 meters and taking about 26.0 seconds.
Turn left, continue for 3.6 meters and taking about 2.6 seconds.
Turn right onto Shirley Street on Shirley Street, continue for 312.9 meters and taking about 225.3 seconds.
Turn left, continue for 133.5 meters and taking about 96.1 seconds.
Turn right, continue for 129.2 meters and taking about 93.0 seconds.
Turn left, continue for 16.4 meters and taking about 11.8 seconds.
Turn right, continue for 53.1 meters and taking about 38.2 seconds.
Turn left, continue for 286.4 meters and taking about 206.2 seconds.
Turn sharp left, continue for 55.4 meters and taking about 39.9 seconds.
Turn left, continue for 53.9 meters and taking about 38.8 seconds.
Turn right, continue for 54.1 meters and taking about 38.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
