Head east, continue for 49.2 meters and taking about 35.4 seconds.
Turn left, continue for 41.4 meters and taking about 29.8 seconds.
Turn right, continue for 153.8 meters and taking about 110.7 seconds.
Turn right, continue for 118.7 meters and taking about 85.5 seconds.
Turn left, continue for 16.7 meters and taking about 12.1 seconds.
Turn right, continue for 17.1 meters and taking about 12.3 seconds.
Turn left, continue for 146.2 meters and taking about 105.3 seconds.
Turn right, continue for 201.7 meters and taking about 145.2 seconds.
Turn left onto Spice Mill Lane on Spice Mill Lane, continue for 56.5 meters and taking about 40.7 seconds.
Turn right, continue for 49.9 meters and taking about 35.9 seconds.
Turn left, continue for 7.5 meters and taking about 5.4 seconds.
Turn right onto Lombard Street on Lombard Street, continue for 127.7 meters and taking about 92.0 seconds.
Arrive at Lombard Street, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
