Head east, continue for 6.7 meters and taking about 4.8 seconds.
Turn right, continue for 48.5 meters and taking about 34.9 seconds.
Keep right, continue for 17.3 meters and taking about 12.5 seconds.
Turn left, continue for 81.4 meters and taking about 58.6 seconds.
Turn right, continue for 88.4 meters and taking about 63.7 seconds.
Turn left, continue for 52.1 meters and taking about 37.5 seconds.
Turn right, continue for 249.7 meters and taking about 179.8 seconds.
Keep right, continue for 253.9 meters and taking about 182.8 seconds.
Turn left, continue for 27.0 meters and taking about 19.4 seconds.
Turn right, continue for 73.2 meters and taking about 52.7 seconds.
Keep right, continue for 46.1 meters and taking about 33.2 seconds.
Keep right, continue for 27.8 meters and taking about 20.0 seconds.
Turn sharp left, continue for 98.1 meters and taking about 70.7 seconds.
Turn right, continue for 36.0 meters and taking about 25.9 seconds.
Turn right onto PATH on PATH, continue for 7.9 meters and taking about 5.7 seconds.
Arrive at PATH, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
