Head west, continue for 100.8 meters and taking about 72.6 seconds.
Turn left, continue for 14.9 meters and taking about 10.8 seconds.
Turn right, continue for 4.0 meters and taking about 2.8 seconds.
Keep right, continue for 545.1 meters and taking about 392.4 seconds.
Keep right, continue for 102.1 meters and taking about 73.5 seconds.
Keep right, continue for 106.4 meters and taking about 76.6 seconds.
Turn slight left, continue for 1.7 meters and taking about 1.2 seconds.
Keep right, continue for 19.3 meters and taking about 13.9 seconds.
Turn left, continue for 59.9 meters and taking about 43.1 seconds.
Keep left, continue for 19.3 meters and taking about 13.9 seconds.
Turn left, continue for 2.0 meters and taking about 1.5 seconds.
Keep right, continue for 84.7 meters and taking about 61.0 seconds.
Keep left, continue for 264.7 meters and taking about 190.6 seconds.
Keep left, continue for 131.6 meters and taking about 94.8 seconds.
Turn left, continue for 9.7 meters and taking about 7.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
