Head south, continue for 4.6 meters and taking about 3.3 seconds.
Keep right, continue for 211.0 meters and taking about 151.9 seconds.
Turn left, continue for 70.4 meters and taking about 50.7 seconds.
Turn right, continue for 437.6 meters and taking about 315.1 seconds.
Turn left onto Concord Avenue on Concord Avenue, continue for 17.2 meters and taking about 12.4 seconds.
Turn right, continue for 203.4 meters and taking about 146.4 seconds.
Turn left, continue for 40.2 meters and taking about 28.9 seconds.
Turn right, continue for 7.0 meters and taking about 5.0 seconds.
Turn left onto Dovercourt Road on Dovercourt Road, continue for 2.4 meters and taking about 1.7 seconds.
Turn right, continue for 7.8 meters and taking about 5.6 seconds.
Turn left, continue for 5.4 meters and taking about 3.9 seconds.
Turn right, continue for 55.2 meters and taking about 39.8 seconds.
Keep right, continue for 36.0 meters and taking about 25.9 seconds.
Keep left, continue for 76.7 meters and taking about 55.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
