Head east, continue for 4.4 meters and taking about 3.2 seconds.
Turn right, continue for 183.7 meters and taking about 132.3 seconds.
Turn slight right, continue for 11.0 meters and taking about 7.9 seconds.
Turn right, continue for 4.8 meters and taking about 3.4 seconds.
Turn left onto Shanly Street on Shanly Street, continue for 91.6 meters and taking about 66.0 seconds.
Turn right, continue for 5.2 meters and taking about 3.7 seconds.
Turn left, continue for 11.0 meters and taking about 7.9 seconds.
Turn right, continue for 287.0 meters and taking about 206.6 seconds.
Turn left, continue for 95.1 meters and taking about 68.5 seconds.
Turn right, continue for 13.0 meters and taking about 9.3 seconds.
Turn left, continue for 9.6 meters and taking about 6.9 seconds.
Turn right, continue for 40.7 meters and taking about 29.3 seconds.
Turn left, continue for 734.8 meters and taking about 529.0 seconds.
Turn left, continue for 70.4 meters and taking about 50.7 seconds.
Turn right, continue for 211.0 meters and taking about 151.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
