Head south, continue for 9.0 meters and taking about 6.5 seconds.
Turn left onto Gamble Avenue on Gamble Avenue, continue for 330.5 meters and taking about 238.0 seconds.
Turn right, continue for 100.2 meters and taking about 72.2 seconds.
Turn left, continue for 17.5 meters and taking about 12.6 seconds.
Turn right, continue for 2.8 meters and taking about 2.0 seconds.
Keep right, continue for 16.9 meters and taking about 12.1 seconds.
Turn slight right, continue for 2.8 meters and taking about 2.1 seconds.
Keep left, continue for 94.7 meters and taking about 68.2 seconds.
Keep right, continue for 106.2 meters and taking about 76.4 seconds.
Turn slight left, continue for 2.4 meters and taking about 1.7 seconds.
Turn slight right, continue for 13.0 meters and taking about 9.4 seconds.
Turn slight right, continue for 3.2 meters and taking about 2.3 seconds.
Turn slight left, continue for 85.0 meters and taking about 61.2 seconds.
Turn left, continue for 33.3 meters and taking about 24.0 seconds.
Turn right, continue for 184.0 meters and taking about 132.5 seconds.
Turn left, continue for 217.1 meters and taking about 156.3 seconds.
Turn right onto Woodycrest Avenue on Woodycrest Avenue, continue for 85.8 meters and taking about 61.8 seconds.
Turn left, continue for 5.6 meters and taking about 4.0 seconds.
Turn right, continue for 78.3 meters and taking about 56.4 seconds.
Turn left, continue for 195.5 meters and taking about 140.7 seconds.
Turn right, continue for 14.7 meters and taking about 10.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
