Head south, continue for 109.3 meters and taking about 78.7 seconds.
Turn left, continue for 68.2 meters and taking about 49.1 seconds.
Turn right, continue for 22.8 meters and taking about 16.4 seconds.
Turn left, continue for 194.3 meters and taking about 139.9 seconds.
Turn slight left, continue for 304.8 meters and taking about 219.5 seconds.
Turn right, continue for 259.0 meters and taking about 186.4 seconds.
Turn left onto Dohme Avenue on Dohme Avenue, continue for 31.5 meters and taking about 22.7 seconds.
Turn right, continue for 58.9 meters and taking about 42.4 seconds.
Turn right, continue for 71.5 meters and taking about 51.5 seconds.
Turn left, continue for 37.8 meters and taking about 27.2 seconds.
Turn right onto Cranfield Road on Cranfield Road, continue for 20.0 meters and taking about 14.4 seconds.
Turn left, continue for 378.5 meters and taking about 272.5 seconds.
Turn left onto Curity Avenue on Curity Avenue, continue for 68.1 meters and taking about 49.0 seconds.
Turn right, continue for 124.8 meters and taking about 89.9 seconds.
Turn right, continue for 67.3 meters and taking about 48.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
