Head north, continue for 194.8 meters and taking about 140.2 seconds.
Turn left, continue for 7.7 meters and taking about 5.5 seconds.
Turn right onto Coxwell Avenue on Coxwell Avenue, continue for 2.6 meters and taking about 1.8 seconds.
Turn left, continue for 21.7 meters and taking about 15.6 seconds.
Turn right, continue for 2.6 meters and taking about 1.9 seconds.
Turn left, continue for 7.4 meters and taking about 5.4 seconds.
Turn right, continue for 5.6 meters and taking about 4.0 seconds.
Keep left, continue for 21.8 meters and taking about 15.7 seconds.
Turn right, continue for 4.7 meters and taking about 3.4 seconds.
Turn left, continue for 5.2 meters and taking about 3.7 seconds.
Turn right, continue for 20.2 meters and taking about 14.5 seconds.
Turn right, continue for 4.3 meters and taking about 3.1 seconds.
Turn left, continue for 872.9 meters and taking about 628.5 seconds.
Turn right, continue for 19.6 meters and taking about 14.1 seconds.
Turn slight left, continue for 1.9 meters and taking about 1.3 seconds.
Turn left, continue for 393.9 meters and taking about 283.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
