Head east, continue for 17.9 meters and taking about 12.9 seconds.
Turn left, continue for 36.3 meters and taking about 26.1 seconds.
Turn right, continue for 62.0 meters and taking about 44.7 seconds.
Turn right, continue for 134.3 meters and taking about 96.7 seconds.
Turn left, continue for 55.5 meters and taking about 40.0 seconds.
Turn right, continue for 5.8 meters and taking about 4.2 seconds.
Turn left onto Broadway Avenue on Broadway Avenue, continue for 372.6 meters and taking about 268.3 seconds.
Turn right, continue for 5.9 meters and taking about 4.3 seconds.
Turn left, continue for 12.2 meters and taking about 8.8 seconds.
Turn right, continue for 148.9 meters and taking about 107.2 seconds.
Turn left, continue for 24.6 meters and taking about 17.7 seconds.
Turn slight left, continue for 188.2 meters and taking about 135.5 seconds.
Turn right, continue for 14.4 meters and taking about 10.4 seconds.
Turn left, continue for 17.1 meters and taking about 12.3 seconds.
Turn right, continue for 391.2 meters and taking about 281.7 seconds.
Turn slight left, continue for 2.3 meters and taking about 1.6 seconds.
Keep right, continue for 13.1 meters and taking about 9.4 seconds.
Turn slight right, continue for 2.6 meters and taking about 1.9 seconds.
Turn slight left, continue for 96.6 meters and taking about 69.5 seconds.
Turn left onto Hillsdale Avenue East on Hillsdale Avenue East, continue for 304.9 meters and taking about 219.5 seconds.
Arrive at Hillsdale Avenue East, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
