Head west, continue for 8.7 meters and taking about 6.3 seconds.
Turn right, continue for 38.7 meters and taking about 27.9 seconds.
Turn left, continue for 42.7 meters and taking about 30.7 seconds.
Keep right, continue for 155.9 meters and taking about 112.3 seconds.
Turn right, continue for 31.7 meters and taking about 22.8 seconds.
Turn left onto Ditty Lane on Ditty Lane, continue for 16.3 meters and taking about 11.7 seconds.
Turn right, continue for 31.9 meters and taking about 22.9 seconds.
Keep left, continue for 106.2 meters and taking about 76.5 seconds.
Turn right, continue for 16.0 meters and taking about 11.6 seconds.
Turn left, continue for 187.2 meters and taking about 134.8 seconds.
Turn right, continue for 132.5 meters and taking about 95.4 seconds.
Turn left, continue for 118.9 meters and taking about 85.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
