Head east, continue for 148.2 meters and taking about 106.7 seconds.
Turn right onto East York Avenue on East York Avenue, continue for 78.7 meters and taking about 56.6 seconds.
Turn left, continue for 3.5 meters and taking about 2.5 seconds.
Turn right, continue for 72.5 meters and taking about 52.2 seconds.
Turn right, continue for 9.7 meters and taking about 7.0 seconds.
Turn left, continue for 259.7 meters and taking about 187.0 seconds.
Keep left, continue for 304.8 meters and taking about 219.4 seconds.
Turn left, continue for 15.9 meters and taking about 11.4 seconds.
Turn right, continue for 7.1 meters and taking about 5.1 seconds.
Keep right, continue for 83.7 meters and taking about 60.3 seconds.
Keep right, continue for 22.5 meters and taking about 16.2 seconds.
Turn left, continue for 33.6 meters and taking about 24.2 seconds.
Turn right, continue for 256.4 meters and taking about 184.6 seconds.
Turn left, continue for 156.4 meters and taking about 112.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
