Head north, continue for 77.4 meters and taking about 55.7 seconds.
Turn left, continue for 1066.3 meters and taking about 767.7 seconds.
Turn left, continue for 36.8 meters and taking about 26.5 seconds.
Turn right, continue for 189.0 meters and taking about 136.1 seconds.
Turn left, continue for 98.3 meters and taking about 70.8 seconds.
Turn slight left, continue for 9.5 meters and taking about 6.8 seconds.
Turn right, continue for 12.4 meters and taking about 8.9 seconds.
Turn left, continue for 5.0 meters and taking about 3.6 seconds.
Turn right, continue for 149.6 meters and taking about 107.7 seconds.
Turn right, continue for 101.3 meters and taking about 73.0 seconds.
Turn left onto Ormsby Crescent on Ormsby Crescent, continue for 5.2 meters and taking about 3.8 seconds.
Turn right onto Forest Hill Road on Forest Hill Road, continue for 146.6 meters and taking about 105.6 seconds.
Turn left, continue for 90.7 meters and taking about 65.3 seconds.
Turn sharp right onto Old Forest Hill Road on Old Forest Hill Road, continue for 8.1 meters and taking about 5.9 seconds.
Arrive at Old Forest Hill Road, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
