Head east, continue for 213.4 meters and taking about 153.7 seconds.
Keep left, continue for 91.1 meters and taking about 65.6 seconds.
Keep left, continue for 6.4 meters and taking about 4.6 seconds.
Turn left onto Balsam Avenue on Balsam Avenue, continue for 59.6 meters and taking about 42.9 seconds.
Turn right, continue for 3.0 meters and taking about 2.1 seconds.
Turn left, continue for 227.1 meters and taking about 163.5 seconds.
Turn left, continue for 143.1 meters and taking about 103.0 seconds.
Keep left, continue for 11.6 meters and taking about 8.4 seconds.
Turn slight left, continue for 2.3 meters and taking about 1.6 seconds.
Keep right, continue for 373.5 meters and taking about 268.9 seconds.
Turn sharp left, continue for 18.3 meters and taking about 13.2 seconds.
Keep left, continue for 124.4 meters and taking about 89.6 seconds.
Turn left, continue for 4.0 meters and taking about 2.9 seconds.
Turn right, continue for 15.3 meters and taking about 11.0 seconds.
Turn left, continue for 31.3 meters and taking about 22.5 seconds.
Turn right, continue for 36.2 meters and taking about 26.1 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn right onto Hannaford Street on Hannaford Street, continue for 365.7 meters and taking about 263.3 seconds.
Arrive at Hannaford Street, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
