Head southwest, continue for 6.6 meters and taking about 4.8 seconds.
Turn left, continue for 14.5 meters and taking about 10.5 seconds.
Turn right, continue for 119.3 meters and taking about 85.9 seconds.
Keep left, continue for 32.5 meters and taking about 23.4 seconds.
Turn left, continue for 671.8 meters and taking about 483.7 seconds.
Keep left, continue for 181.3 meters and taking about 130.5 seconds.
Turn left, continue for 251.9 meters and taking about 181.4 seconds.
Keep left, continue for 18.0 meters and taking about 13.0 seconds.
Turn left, continue for 5.1 meters and taking about 3.7 seconds.
Keep right, continue for 102.9 meters and taking about 74.1 seconds.
Turn slight left, continue for 407.7 meters and taking about 293.6 seconds.
Turn right, continue for 11.6 meters and taking about 8.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
