Head west, continue for 48.4 meters and taking about 34.9 seconds.
Turn right, continue for 43.5 meters and taking about 31.3 seconds.
Turn left, continue for 19.6 meters and taking about 14.1 seconds.
Turn right, continue for 46.4 meters and taking about 33.4 seconds.
Turn left onto Jenoves Place on Jenoves Place, continue for 5.7 meters and taking about 4.1 seconds.
Turn right onto George Street South on George Street South, continue for 150.3 meters and taking about 108.2 seconds.
Turn left, continue for 6.9 meters and taking about 5.0 seconds.
Turn right, continue for 181.0 meters and taking about 130.3 seconds.
Turn left, continue for 86.9 meters and taking about 62.6 seconds.
Turn right, continue for 13.7 meters and taking about 9.9 seconds.
Turn left, continue for 18.2 meters and taking about 13.1 seconds.
Turn right, continue for 128.5 meters and taking about 92.5 seconds.
Turn left, continue for 42.7 meters and taking about 30.7 seconds.
Keep right, continue for 155.9 meters and taking about 112.3 seconds.
Turn right, continue for 31.7 meters and taking about 22.8 seconds.
Turn left onto Ditty Lane on Ditty Lane, continue for 16.3 meters and taking about 11.7 seconds.
Turn right, continue for 31.9 meters and taking about 22.9 seconds.
Keep left, continue for 106.2 meters and taking about 76.5 seconds.
Turn right, continue for 16.0 meters and taking about 11.6 seconds.
Turn left, continue for 238.0 meters and taking about 171.4 seconds.
Turn right, continue for 44.0 meters and taking about 31.6 seconds.
Turn right onto Escalator from Eaton Centre level 2 to 3 on Escalator from Eaton Centre level 2 to 3, continue for 1.6 meters and taking about 1.2 seconds.
Turn left onto Eaton Centre level 3 on Eaton Centre level 3, continue for 34.9 meters and taking about 25.1 seconds.
Arrive at Eaton Centre level 3, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
