Head north, continue for 34.4 meters and taking about 24.8 seconds.
Turn sharp right, continue for 17.3 meters and taking about 12.4 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Keep right, continue for 36.7 meters and taking about 26.4 seconds.
Turn slight right, continue for 71.9 meters and taking about 51.8 seconds.
Keep left, continue for 34.7 meters and taking about 25.0 seconds.
Turn left, continue for 35.5 meters and taking about 25.6 seconds.
Keep left, continue for 84.1 meters and taking about 60.5 seconds.
Turn left, continue for 167.7 meters and taking about 120.7 seconds.
Keep right, continue for 16.9 meters and taking about 12.2 seconds.
Turn right, continue for 23.7 meters and taking about 17.1 seconds.
Turn left, continue for 1070.0 meters and taking about 770.4 seconds.
Turn slight left, continue for 61.4 meters and taking about 44.2 seconds.
Turn left, continue for 24.6 meters and taking about 17.7 seconds.
Turn left, continue for 4.5 meters and taking about 3.3 seconds.
Keep right, continue for 83.6 meters and taking about 60.2 seconds.
Turn right, continue for 28.8 meters and taking about 20.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
