Head north, continue for 7.7 meters and taking about 5.5 seconds.
Turn right, continue for 128.3 meters and taking about 92.4 seconds.
Keep right, continue for 108.9 meters and taking about 78.4 seconds.
Turn left, continue for 31.7 meters and taking about 22.9 seconds.
Turn right, continue for 90.7 meters and taking about 65.3 seconds.
Turn left onto Cameron Street on Cameron Street, continue for 47.7 meters and taking about 34.3 seconds.
Turn right, continue for 5.6 meters and taking about 4.0 seconds.
Turn left, continue for 9.1 meters and taking about 6.5 seconds.
Turn right, continue for 65.4 meters and taking about 47.1 seconds.
Turn left, continue for 133.7 meters and taking about 96.2 seconds.
Turn right, continue for 84.2 meters and taking about 60.6 seconds.
Turn left, continue for 4.6 meters and taking about 3.3 seconds.
Turn right onto Sullivan Street on Sullivan Street, continue for 17.7 meters and taking about 12.8 seconds.
Turn left, continue for 4.5 meters and taking about 3.2 seconds.
Turn right, continue for 262.5 meters and taking about 189.0 seconds.
Turn slight right, continue for 15.8 meters and taking about 11.4 seconds.
Turn left, continue for 4.5 meters and taking about 3.3 seconds.
Turn right, continue for 68.7 meters and taking about 49.4 seconds.
Turn right, continue for 106.5 meters and taking about 76.7 seconds.
Turn right, continue for 1.8 meters and taking about 1.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
