Head west, continue for 56.9 meters and taking about 40.9 seconds.
Turn right, continue for 29.6 meters and taking about 21.3 seconds.
Turn left onto Ashtonbee Road on Ashtonbee Road, continue for 102.0 meters and taking about 73.4 seconds.
Turn left, continue for 156.2 meters and taking about 112.5 seconds.
Turn right, continue for 36.9 meters and taking about 26.5 seconds.
Turn left, continue for 102.1 meters and taking about 73.5 seconds.
Turn right, continue for 15.9 meters and taking about 11.4 seconds.
Turn left, continue for 21.5 meters and taking about 15.5 seconds.
Turn right, continue for 91.3 meters and taking about 65.7 seconds.
Turn left onto Bank of Montreal drive thru on Bank of Montreal drive thru, continue for 21.7 meters and taking about 15.7 seconds.
Continue straight, continue for 11.2 meters and taking about 8.0 seconds.
Turn right, continue for 487.6 meters and taking about 351.1 seconds.
Turn left, continue for 195.0 meters and taking about 140.4 seconds.
Turn left, continue for 8.8 meters and taking about 6.3 seconds.
Keep right, continue for 19.9 meters and taking about 14.4 seconds.
Turn slight right, continue for 6.1 meters and taking about 4.4 seconds.
Turn left, continue for 92.0 meters and taking about 66.3 seconds.
Turn slight left, continue for 200.4 meters and taking about 144.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
