Head east, continue for 142.0 meters and taking about 102.2 seconds.
Turn left onto Indian Road Crescent on Indian Road Crescent, continue for 35.2 meters and taking about 25.4 seconds.
Turn right, continue for 5.9 meters and taking about 4.2 seconds.
Turn slight left, continue for 2.0 meters and taking about 1.4 seconds.
Turn slight right, continue for 172.0 meters and taking about 123.8 seconds.
Keep left, continue for 4.6 meters and taking about 3.3 seconds.
Turn left, continue for 33.1 meters and taking about 23.8 seconds.
Turn right, continue for 169.1 meters and taking about 121.8 seconds.
Turn left, continue for 83.4 meters and taking about 60.1 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Turn left onto Osler Street on Osler Street, continue for 139.7 meters and taking about 100.6 seconds.
Turn right, continue for 6.4 meters and taking about 4.6 seconds.
Turn left, continue for 366.9 meters and taking about 264.2 seconds.
Turn left, continue for 4.1 meters and taking about 3.0 seconds.
Turn right onto Pelham Avenue on Pelham Avenue, continue for 28.1 meters and taking about 20.2 seconds.
Turn left, continue for 186.4 meters and taking about 134.2 seconds.
Turn right, continue for 9.8 meters and taking about 7.0 seconds.
Turn left, continue for 11.4 meters and taking about 8.2 seconds.
Turn right, continue for 14.5 meters and taking about 10.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
