Head south, continue for 4.8 meters and taking about 3.5 seconds.
Turn right onto Ascot Avenue on Ascot Avenue, continue for 152.9 meters and taking about 110.1 seconds.
Turn left onto Earlscourt Avenue on Earlscourt Avenue, continue for 239.6 meters and taking about 172.5 seconds.
Turn right, continue for 9.2 meters and taking about 6.6 seconds.
Turn left, continue for 26.1 meters and taking about 18.8 seconds.
Turn right, continue for 153.9 meters and taking about 110.8 seconds.
Turn left, continue for 33.7 meters and taking about 24.3 seconds.
Turn right, continue for 4.0 meters and taking about 2.9 seconds.
Turn left onto St. Clarens Avenue on St. Clarens Avenue, continue for 305.1 meters and taking about 219.7 seconds.
Turn right, continue for 4.2 meters and taking about 3.0 seconds.
Turn left, continue for 200.1 meters and taking about 144.1 seconds.
Turn right, continue for 47.4 meters and taking about 34.1 seconds.
Turn sharp left, continue for 18.9 meters and taking about 13.6 seconds.
Turn slight right, continue for 4.3 meters and taking about 3.1 seconds.
Keep left, continue for 300.1 meters and taking about 216.1 seconds.
Turn right, continue for 6.7 meters and taking about 4.8 seconds.
Turn left onto Brandon Avenue on Brandon Avenue, continue for 13.8 meters and taking about 10.0 seconds.
Turn right, continue for 47.3 meters and taking about 34.1 seconds.
Turn left, continue for 10.9 meters and taking about 7.8 seconds.
Turn right, continue for 13.3 meters and taking about 9.6 seconds.
Turn right, continue for 18.1 meters and taking about 13.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
