Head east, continue for 5.8 meters and taking about 4.2 seconds.
Turn sharp left, continue for 296.2 meters and taking about 213.2 seconds.
Turn right, continue for 156.9 meters and taking about 113.0 seconds.
Turn left, continue for 33.1 meters and taking about 23.8 seconds.
Turn right, continue for 11.6 meters and taking about 8.3 seconds.
Turn left, continue for 26.0 meters and taking about 18.7 seconds.
Keep right, continue for 36.3 meters and taking about 26.1 seconds.
Turn left onto Jefferson Avenue on Jefferson Avenue, continue for 17.2 meters and taking about 12.4 seconds.
Turn right, continue for 5.8 meters and taking about 4.2 seconds.
Turn left, continue for 87.6 meters and taking about 63.1 seconds.
Turn right, continue for 69.9 meters and taking about 50.3 seconds.
Keep left, continue for 42.5 meters and taking about 30.6 seconds.
Keep left, continue for 281.6 meters and taking about 202.7 seconds.
Turn left, continue for 16.1 meters and taking about 11.6 seconds.
Turn slight right, continue for 1.8 meters and taking about 1.3 seconds.
Keep right, continue for 193.3 meters and taking about 139.2 seconds.
Turn left, continue for 70.3 meters and taking about 50.6 seconds.
Turn right onto Shank Street on Shank Street, continue for 101.0 meters and taking about 72.7 seconds.
Turn left, continue for 60.6 meters and taking about 43.6 seconds.
Turn right, continue for 94.1 meters and taking about 67.8 seconds.
Turn left, continue for 5.5 meters and taking about 4.0 seconds.
Turn right onto Adelaide Street West on Adelaide Street West, continue for 61.8 meters and taking about 44.5 seconds.
Turn left, continue for 5.5 meters and taking about 4.0 seconds.
Turn right, continue for 14.1 meters and taking about 10.2 seconds.
Turn sharp left, continue for 99.7 meters and taking about 71.8 seconds.
Turn right, continue for 46.0 meters and taking about 33.1 seconds.
Turn left, continue for 5.4 meters and taking about 3.9 seconds.
Turn right onto Richmond Street West on Richmond Street West, continue for 12.7 meters and taking about 9.1 seconds.
Turn left, continue for 3.6 meters and taking about 2.6 seconds.
Turn right, continue for 90.8 meters and taking about 65.4 seconds.
Keep left, continue for 35.5 meters and taking about 25.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
