Head west, continue for 94.7 meters and taking about 68.2 seconds.
Turn right onto Fuller Avenue on Fuller Avenue, continue for 10.5 meters and taking about 7.6 seconds.
Turn left, continue for 3.1 meters and taking about 2.2 seconds.
Turn right, continue for 8.7 meters and taking about 6.3 seconds.
Turn left, continue for 106.8 meters and taking about 76.9 seconds.
Turn left, continue for 82.9 meters and taking about 59.7 seconds.
Turn right, continue for 4.0 meters and taking about 2.9 seconds.
Turn left onto Saunders Avenue on Saunders Avenue, continue for 4.1 meters and taking about 3.0 seconds.
Turn right onto Sorauren Avenue on Sorauren Avenue, continue for 548.9 meters and taking about 395.2 seconds.
Turn left, continue for 4.6 meters and taking about 3.3 seconds.
Turn right, continue for 90.9 meters and taking about 65.4 seconds.
Turn left, continue for 44.9 meters and taking about 32.4 seconds.
Turn right, continue for 70.4 meters and taking about 50.7 seconds.
Turn left, continue for 72.0 meters and taking about 51.9 seconds.
Turn right, continue for 47.4 meters and taking about 34.1 seconds.
Turn left onto Fermanagh Avenue on Fermanagh Avenue, continue for 196.9 meters and taking about 141.8 seconds.
Turn right, continue for 5.7 meters and taking about 4.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
