Head east, continue for 137.3 meters and taking about 98.9 seconds.
Turn left, continue for 179.3 meters and taking about 129.1 seconds.
Keep right, continue for 28.1 meters and taking about 20.2 seconds.
Turn slight left, continue for 8.1 meters and taking about 5.8 seconds.
Turn right, continue for 23.4 meters and taking about 16.9 seconds.
Keep right, continue for 18.7 meters and taking about 13.5 seconds.
Turn left, continue for 25.5 meters and taking about 18.4 seconds.
Turn right, continue for 206.4 meters and taking about 148.6 seconds.
Turn left, continue for 3.1 meters and taking about 2.3 seconds.
Keep right, continue for 3.8 meters and taking about 2.7 seconds.
Turn right, continue for 6.1 meters and taking about 4.4 seconds.
Turn left, continue for 17.1 meters and taking about 12.3 seconds.
Turn right, continue for 13.4 meters and taking about 9.7 seconds.
Turn left, continue for 2.7 meters and taking about 2.0 seconds.
Keep left, continue for 6.5 meters and taking about 4.7 seconds.
Turn right onto Barton Avenue on Barton Avenue, continue for 40.2 meters and taking about 28.9 seconds.
Turn left onto Silver Bar Lane on Silver Bar Lane, continue for 4.6 meters and taking about 3.3 seconds.
Turn right, continue for 45.5 meters and taking about 32.8 seconds.
Turn left, continue for 33.5 meters and taking about 24.1 seconds.
Turn right onto John Mcintosh Lane on John Mcintosh Lane, continue for 108.7 meters and taking about 78.2 seconds.
Turn left onto Manning Avenue on Manning Avenue, continue for 127.7 meters and taking about 91.9 seconds.
Turn sharp right, continue for 7.0 meters and taking about 5.1 seconds.
Turn slight left, continue for 87.3 meters and taking about 62.9 seconds.
Turn left, continue for 3.0 meters and taking about 2.1 seconds.
Turn right onto Follis Avenue on Follis Avenue, continue for 113.0 meters and taking about 81.3 seconds.
Turn left, continue for 4.2 meters and taking about 3.0 seconds.
Turn right, continue for 148.4 meters and taking about 106.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
