Head west, continue for 3.7 meters and taking about 2.7 seconds.
Turn left, continue for 29.3 meters and taking about 21.1 seconds.
Turn right, continue for 50.6 meters and taking about 36.4 seconds.
Turn left, continue for 53.1 meters and taking about 38.3 seconds.
Turn right, continue for 20.6 meters and taking about 14.8 seconds.
Turn left, continue for 87.0 meters and taking about 62.6 seconds.
Keep left, continue for 57.5 meters and taking about 41.4 seconds.
Turn right, continue for 9.3 meters and taking about 6.7 seconds.
Turn left, continue for 140.4 meters and taking about 101.1 seconds.
Turn right, continue for 72.9 meters and taking about 52.5 seconds.
Turn left, continue for 88.7 meters and taking about 63.9 seconds.
Turn right, continue for 75.3 meters and taking about 54.2 seconds.
Turn left, continue for 36.8 meters and taking about 26.5 seconds.
Turn sharp right, continue for 4.7 meters and taking about 3.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
