Head west, continue for 201.8 meters and taking about 145.3 seconds.
Turn right, continue for 23.0 meters and taking about 16.6 seconds.
Turn right, continue for 66.5 meters and taking about 47.9 seconds.
Turn right, continue for 60.1 meters and taking about 43.2 seconds.
Turn right, continue for 66.2 meters and taking about 47.7 seconds.
Keep left, continue for 15.8 meters and taking about 11.4 seconds.
Turn right, continue for 249.5 meters and taking about 179.7 seconds.
Turn left, continue for 94.5 meters and taking about 68.0 seconds.
Turn slight left, continue for 42.7 meters and taking about 30.7 seconds.
Keep left, continue for 28.2 meters and taking about 20.3 seconds.
Turn right, continue for 6.6 meters and taking about 4.7 seconds.
Turn left onto Newfoundland Road on Newfoundland Road, continue for 122.5 meters and taking about 88.2 seconds.
Keep right onto Newfoundland Road on Newfoundland Road, continue for 22.7 meters and taking about 16.4 seconds.
Turn left, continue for 4.9 meters and taking about 3.6 seconds.
Turn right, continue for 20.1 meters and taking about 14.5 seconds.
Turn right, continue for 154.7 meters and taking about 111.4 seconds.
Turn slight left, continue for 108.8 meters and taking about 78.3 seconds.
Keep left, continue for 34.5 meters and taking about 24.8 seconds.
Turn right, continue for 32.6 meters and taking about 23.4 seconds.
Keep right, continue for 11.4 meters and taking about 8.2 seconds.
Turn slight right, continue for 51.8 meters and taking about 37.3 seconds.
Turn left, continue for 46.6 meters and taking about 33.5 seconds.
Turn right, continue for 34.3 meters and taking about 24.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
