Head north, continue for 78.2 meters and taking about 56.3 seconds.
Turn right, continue for 57.3 meters and taking about 41.2 seconds.
Turn right, continue for 42.1 meters and taking about 30.3 seconds.
Turn right onto Wynford Heights Crescent on Wynford Heights Crescent, continue for 206.3 meters and taking about 148.6 seconds.
Turn right, continue for 7.5 meters and taking about 5.4 seconds.
Turn left, continue for 10.5 meters and taking about 7.6 seconds.
Turn left, continue for 884.5 meters and taking about 636.8 seconds.
Turn right, continue for 203.4 meters and taking about 146.4 seconds.
Turn left, continue for 6.2 meters and taking about 4.5 seconds.
Turn right, continue for 104.1 meters and taking about 75.0 seconds.
Turn left, continue for 48.7 meters and taking about 35.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
