Head north, continue for 5.2 meters and taking about 3.7 seconds.
Turn slight left, continue for 78.7 meters and taking about 56.7 seconds.
Turn left, continue for 202.7 meters and taking about 145.9 seconds.
Keep right, continue for 18.9 meters and taking about 13.6 seconds.
Turn right, continue for 19.9 meters and taking about 14.3 seconds.
Turn left, continue for 67.6 meters and taking about 48.7 seconds.
Turn right, continue for 29.6 meters and taking about 21.3 seconds.
Turn left, continue for 46.5 meters and taking about 33.5 seconds.
Turn right onto Thomas McClintock Lane on Thomas McClintock Lane, continue for 37.6 meters and taking about 27.1 seconds.
Turn left, continue for 271.3 meters and taking about 195.3 seconds.
Turn right, continue for 163.1 meters and taking about 117.5 seconds.
Turn left, continue for 101.9 meters and taking about 73.4 seconds.
Turn right, continue for 6.5 meters and taking about 4.7 seconds.
Turn slight left, continue for 18.6 meters and taking about 13.4 seconds.
Turn right, continue for 107.6 meters and taking about 77.5 seconds.
Turn left, continue for 4.8 meters and taking about 3.5 seconds.
Turn right onto Jackman Avenue on Jackman Avenue, continue for 144.4 meters and taking about 104.0 seconds.
Turn left, continue for 6.2 meters and taking about 4.4 seconds.
Turn right, continue for 87.3 meters and taking about 62.9 seconds.
Keep right, continue for 102.9 meters and taking about 74.1 seconds.
Turn left, continue for 93.8 meters and taking about 67.6 seconds.
Turn sharp right, continue for 10.9 meters and taking about 7.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
