Head east, continue for 44.6 meters and taking about 32.1 seconds.
Keep right, continue for 126.3 meters and taking about 90.9 seconds.
Turn sharp left, continue for 151.8 meters and taking about 109.3 seconds.
Keep right, continue for 109.8 meters and taking about 79.1 seconds.
Keep right, continue for 306.2 meters and taking about 220.4 seconds.
Turn right, continue for 21.7 meters and taking about 15.6 seconds.
Turn left, continue for 414.9 meters and taking about 298.8 seconds.
Turn slight right, continue for 2.3 meters and taking about 1.6 seconds.
Turn left, continue for 22.5 meters and taking about 16.2 seconds.
Turn left, continue for 7.4 meters and taking about 5.3 seconds.
Turn right, continue for 227.1 meters and taking about 163.5 seconds.
Keep right, continue for 128.7 meters and taking about 92.7 seconds.
Turn left onto Indian Trail on Indian Trail, continue for 4.9 meters and taking about 3.5 seconds.
Turn right onto Indian Road on Indian Road, continue for 77.3 meters and taking about 55.7 seconds.
Turn left onto Radford Avenue on Radford Avenue, continue for 126.8 meters and taking about 91.3 seconds.
Turn right, continue for 4.4 meters and taking about 3.2 seconds.
Turn left, continue for 77.8 meters and taking about 56.0 seconds.
Turn right, continue for 99.6 meters and taking about 71.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
