Head south, continue for 17.1 meters and taking about 12.3 seconds.
Turn left, continue for 3.8 meters and taking about 2.8 seconds.
Turn right, continue for 194.3 meters and taking about 139.9 seconds.
Turn right, continue for 200.7 meters and taking about 144.5 seconds.
Turn left, continue for 1186.4 meters and taking about 854.2 seconds.
Turn left, continue for 1.1 meters and taking about 0.8 seconds.
Turn right, continue for 16.6 meters and taking about 12.0 seconds.
Turn right, continue for 2.0 meters and taking about 1.5 seconds.
Turn left, continue for 128.5 meters and taking about 92.5 seconds.
Turn right, continue for 8.1 meters and taking about 5.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
