Head southeast, continue for 400.2 meters and taking about 288.2 seconds.
Turn left, continue for 53.1 meters and taking about 38.2 seconds.
Turn right onto Thomas McClintock Lane on Thomas McClintock Lane, continue for 37.6 meters and taking about 27.1 seconds.
Turn left onto Antonios Mavrakakis Lane on Antonios Mavrakakis Lane, continue for 46.5 meters and taking about 33.5 seconds.
Turn right, continue for 29.6 meters and taking about 21.3 seconds.
Turn left, continue for 67.6 meters and taking about 48.7 seconds.
Turn right, continue for 19.9 meters and taking about 14.3 seconds.
Turn left, continue for 3.4 meters and taking about 2.4 seconds.
Keep left, continue for 98.9 meters and taking about 71.2 seconds.
Turn right, continue for 164.1 meters and taking about 118.1 seconds.
Turn left, continue for 78.1 meters and taking about 56.2 seconds.
Turn right, continue for 5.0 meters and taking about 3.6 seconds.
Turn left onto Harcourt Avenue on Harcourt Avenue, continue for 20.3 meters and taking about 14.6 seconds.
Turn right, continue for 4.3 meters and taking about 3.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
