Head east, continue for 6.6 meters and taking about 4.7 seconds.
Turn left, continue for 152.0 meters and taking about 109.4 seconds.
Turn right, continue for 76.8 meters and taking about 55.3 seconds.
Turn right onto Hanna Avenue on Hanna Avenue, continue for 10.9 meters and taking about 7.9 seconds.
Turn left, continue for 275.6 meters and taking about 198.4 seconds.
Turn left, continue for 18.7 meters and taking about 13.4 seconds.
Turn right, continue for 406.8 meters and taking about 292.9 seconds.
Turn left, continue for 15.4 meters and taking about 11.1 seconds.
Turn right, continue for 22.6 meters and taking about 16.3 seconds.
Turn right, continue for 2.7 meters and taking about 2.0 seconds.
Turn left, continue for 105.6 meters and taking about 76.0 seconds.
Keep left, continue for 83.2 meters and taking about 59.9 seconds.
Turn left onto Garrison Crossing on Garrison Crossing, continue for 83.2 meters and taking about 59.9 seconds.
Turn right, continue for 88.6 meters and taking about 63.8 seconds.
Turn right, continue for 211.4 meters and taking about 152.2 seconds.
Keep left, continue for 108.4 meters and taking about 78.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
