Head west, continue for 22.3 meters and taking about 16.1 seconds.
Turn right, continue for 37.9 meters and taking about 27.3 seconds.
Turn right, continue for 393.3 meters and taking about 283.2 seconds.
Turn left, continue for 2.9 meters and taking about 2.1 seconds.
Turn right onto Baldwin Street on Baldwin Street, continue for 47.8 meters and taking about 34.4 seconds.
Turn left, continue for 97.1 meters and taking about 69.9 seconds.
Turn right, continue for 35.6 meters and taking about 25.6 seconds.
Turn left, continue for 14.7 meters and taking about 10.6 seconds.
Turn right onto Cecil Street on Cecil Street, continue for 130.3 meters and taking about 93.8 seconds.
Turn left, continue for 4.2 meters and taking about 3.0 seconds.
Turn right, continue for 190.4 meters and taking about 137.1 seconds.
Turn slight left, continue for 3.1 meters and taking about 2.2 seconds.
Turn right, continue for 14.6 meters and taking about 10.5 seconds.
Turn left, continue for 179.1 meters and taking about 129.0 seconds.
Keep right, continue for 440.3 meters and taking about 317.0 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn slight left, continue for 8.3 meters and taking about 6.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
