Head north, continue for 82.3 meters and taking about 59.3 seconds.
Turn right onto Cheritan Avenue on Cheritan Avenue, continue for 151.1 meters and taking about 108.8 seconds.
Turn left onto Cortland Avenue on Cortland Avenue, continue for 7.5 meters and taking about 5.4 seconds.
Turn right, continue for 7.7 meters and taking about 5.6 seconds.
Turn sharp left, continue for 168.2 meters and taking about 121.1 seconds.
Turn right, continue for 31.3 meters and taking about 22.6 seconds.
Turn right, continue for 82.9 meters and taking about 59.7 seconds.
Turn left, continue for 313.4 meters and taking about 225.7 seconds.
Turn right, continue for 21.9 meters and taking about 15.8 seconds.
Turn left, continue for 16.8 meters and taking about 12.1 seconds.
Turn right, continue for 216.0 meters and taking about 155.5 seconds.
Turn left, continue for 19.2 meters and taking about 13.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
