Head north, continue for 7.2 meters and taking about 5.2 seconds.
Turn left, continue for 317.3 meters and taking about 228.4 seconds.
Turn slight left, continue for 2.5 meters and taking about 1.8 seconds.
Turn slight right, continue for 24.4 meters and taking about 17.6 seconds.
Turn right, continue for 25.7 meters and taking about 18.5 seconds.
Turn right, continue for 19.0 meters and taking about 13.6 seconds.
Turn right onto Gunns Road on Gunns Road, continue for 28.9 meters and taking about 20.8 seconds.
Turn left, continue for 8.3 meters and taking about 6.0 seconds.
Turn right, continue for 9.2 meters and taking about 6.6 seconds.
Turn left, continue for 3.3 meters and taking about 2.4 seconds.
Turn right, continue for 105.7 meters and taking about 76.1 seconds.
Turn right, continue for 8.4 meters and taking about 6.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
