Head west, continue for 12.4 meters and taking about 8.9 seconds.
Turn slight right, continue for 2.2 meters and taking about 1.6 seconds.
Turn right, continue for 5.9 meters and taking about 4.2 seconds.
Turn left onto Dunkirk Road on Dunkirk Road, continue for 421.3 meters and taking about 303.3 seconds.
Turn right, continue for 10.3 meters and taking about 7.4 seconds.
Keep left, continue for 13.4 meters and taking about 9.6 seconds.
Turn left, continue for 72.8 meters and taking about 52.4 seconds.
Keep left, continue for 81.6 meters and taking about 58.7 seconds.
Keep left, continue for 89.9 meters and taking about 64.7 seconds.
Turn sharp left, continue for 17.5 meters and taking about 12.6 seconds.
Turn slight right, continue for 3.0 meters and taking about 2.1 seconds.
Turn slight left, continue for 45.7 meters and taking about 32.9 seconds.
Keep right, continue for 81.1 meters and taking about 58.4 seconds.
Keep left, continue for 77.1 meters and taking about 55.5 seconds.
Turn right, continue for 21.5 meters and taking about 15.5 seconds.
Turn sharp left, continue for 69.3 meters and taking about 49.9 seconds.
Keep right, continue for 278.4 meters and taking about 200.4 seconds.
Turn left, continue for 5.2 meters and taking about 3.7 seconds.
Turn right onto Queensdale Avenue on Queensdale Avenue, continue for 7.8 meters and taking about 5.6 seconds.
Turn left onto Monarch Park Avenue on Monarch Park Avenue, continue for 90.3 meters and taking about 65.0 seconds.
Turn right, continue for 6.3 meters and taking about 4.6 seconds.
Turn left, continue for 72.8 meters and taking about 52.4 seconds.
Keep right, continue for 422.8 meters and taking about 304.4 seconds.
Turn left, continue for 4.6 meters and taking about 3.3 seconds.
Turn right onto Milverton Boulevard on Milverton Boulevard, continue for 9.2 meters and taking about 6.6 seconds.
Arrive at Milverton Boulevard, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
