Head southwest, continue for 58.1 meters and taking about 41.8 seconds.
Turn left, continue for 54.2 meters and taking about 39.0 seconds.
Turn right, continue for 352.3 meters and taking about 253.7 seconds.
Turn left, continue for 26.0 meters and taking about 18.7 seconds.
Turn right, continue for 196.2 meters and taking about 141.3 seconds.
Turn right, continue for 31.2 meters and taking about 22.4 seconds.
Turn left, continue for 170.8 meters and taking about 123.0 seconds.
Continue straight, continue for 9.7 meters and taking about 7.0 seconds.
Turn left, continue for 65.6 meters and taking about 47.2 seconds.
Turn slight right, continue for 23.2 meters and taking about 16.7 seconds.
Turn sharp left, continue for 25.2 meters and taking about 18.1 seconds.
Continue straight, continue for 5.0 meters and taking about 3.6 seconds.
Turn right onto Galbraith Road on Galbraith Road, continue for 166.2 meters and taking about 119.7 seconds.
Turn right, continue for 24.0 meters and taking about 17.3 seconds.
Turn left, continue for 14.7 meters and taking about 10.6 seconds.
Turn right, continue for 237.6 meters and taking about 171.1 seconds.
Turn left, continue for 13.6 meters and taking about 9.8 seconds.
Turn right, continue for 16.8 meters and taking about 12.1 seconds.
Turn right, continue for 19.9 meters and taking about 14.3 seconds.
Turn left, continue for 15.4 meters and taking about 11.1 seconds.
Turn right, continue for 11.4 meters and taking about 8.2 seconds.
Turn slight left, continue for 25.1 meters and taking about 18.1 seconds.
Keep left, continue for 31.5 meters and taking about 22.7 seconds.
Turn slight left, continue for 41.2 meters and taking about 29.6 seconds.
Turn sharp left, continue for 9.0 meters and taking about 6.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
