Head south, continue for 8.4 meters and taking about 6.0 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Turn left onto Cloverdale Road on Cloverdale Road, continue for 173.3 meters and taking about 124.8 seconds.
Turn right, continue for 114.5 meters and taking about 82.4 seconds.
Turn left, continue for 27.4 meters and taking about 19.7 seconds.
Turn right, continue for 266.6 meters and taking about 191.9 seconds.
Keep right, continue for 22.4 meters and taking about 16.1 seconds.
Turn right, continue for 2.7 meters and taking about 1.9 seconds.
Turn left, continue for 43.8 meters and taking about 31.5 seconds.
Turn right, continue for 5.9 meters and taking about 4.2 seconds.
Turn left onto Old Weston Road on Old Weston Road, continue for 476.2 meters and taking about 342.9 seconds.
Turn right, continue for 6.3 meters and taking about 4.5 seconds.
Turn left, continue for 38.5 meters and taking about 27.7 seconds.
Keep left, continue for 17.6 meters and taking about 12.7 seconds.
Turn left, continue for 145.9 meters and taking about 105.0 seconds.
Keep right, continue for 270.1 meters and taking about 194.5 seconds.
Turn left, continue for 12.0 meters and taking about 8.6 seconds.
Turn right, continue for 13.5 meters and taking about 9.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
