Head northeast, continue for 45.2 meters and taking about 32.5 seconds.
Turn left, continue for 47.0 meters and taking about 33.8 seconds.
Turn slight left, continue for 125.6 meters and taking about 90.5 seconds.
Keep right, continue for 65.4 meters and taking about 47.1 seconds.
Turn right, continue for 229.1 meters and taking about 165.0 seconds.
Turn right onto Balliol Street on Balliol Street, continue for 5.0 meters and taking about 3.6 seconds.
Turn left, continue for 6.4 meters and taking about 4.6 seconds.
Turn right, continue for 2.4 meters and taking about 1.7 seconds.
Turn left, continue for 50.1 meters and taking about 36.1 seconds.
Turn left, continue for 76.8 meters and taking about 55.3 seconds.
Turn right, continue for 105.4 meters and taking about 75.9 seconds.
Turn left, continue for 14.5 meters and taking about 10.4 seconds.
Turn right, continue for 19.6 meters and taking about 14.1 seconds.
Turn left, continue for 104.4 meters and taking about 75.2 seconds.
Turn sharp right, continue for 7.5 meters and taking about 5.4 seconds.
Turn left, continue for 5.9 meters and taking about 4.2 seconds.
Turn right onto Millwood Road on Millwood Road, continue for 64.7 meters and taking about 46.6 seconds.
Turn left, continue for 101.2 meters and taking about 72.9 seconds.
Turn right, continue for 68.5 meters and taking about 49.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
