Head east, continue for 10.2 meters and taking about 7.4 seconds.
Turn right, continue for 18.6 meters and taking about 13.4 seconds.
Turn left, continue for 174.3 meters and taking about 125.5 seconds.
Turn left, continue for 38.0 meters and taking about 27.4 seconds.
Turn right, continue for 23.2 meters and taking about 16.7 seconds.
Turn left, continue for 4.2 meters and taking about 3.0 seconds.
Turn right onto Yorkville Avenue on Yorkville Avenue, continue for 137.4 meters and taking about 98.9 seconds.
Turn left onto Hazelton Avenue on Hazelton Avenue, continue for 7.0 meters and taking about 5.1 seconds.
Turn right, continue for 4.4 meters and taking about 3.1 seconds.
Turn left, continue for 124.8 meters and taking about 89.8 seconds.
Turn right, continue for 271.4 meters and taking about 195.4 seconds.
Turn left, continue for 12.3 meters and taking about 8.9 seconds.
Turn left, continue for 4.2 meters and taking about 3.0 seconds.
Turn right, continue for 25.6 meters and taking about 18.4 seconds.
Turn left, continue for 92.9 meters and taking about 66.9 seconds.
Turn sharp right onto McAlpine Street on McAlpine Street, continue for 112.8 meters and taking about 81.2 seconds.
Turn left onto McMurrich Street on McMurrich Street, continue for 38.8 meters and taking about 27.9 seconds.
Turn right onto Frichot Avenue on Frichot Avenue, continue for 5.2 meters and taking about 3.8 seconds.
Turn right, continue for 5.5 meters and taking about 4.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
