Head north, continue for 18.2 meters and taking about 13.1 seconds.
Turn right, continue for 34.4 meters and taking about 24.8 seconds.
Turn left, continue for 57.8 meters and taking about 41.6 seconds.
Turn left, continue for 9.7 meters and taking about 7.0 seconds.
Turn right, continue for 101.6 meters and taking about 73.2 seconds.
Turn left, continue for 28.1 meters and taking about 20.2 seconds.
Turn right, continue for 150.4 meters and taking about 108.3 seconds.
Turn left, continue for 54.4 meters and taking about 39.2 seconds.
Turn right, continue for 304.2 meters and taking about 219.0 seconds.
Keep right, continue for 25.9 meters and taking about 18.7 seconds.
Turn left, continue for 70.1 meters and taking about 50.5 seconds.
Turn right, continue for 294.5 meters and taking about 212.0 seconds.
Turn left, continue for 154.6 meters and taking about 111.3 seconds.
Turn left, continue for 7.3 meters and taking about 5.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
