Head south, continue for 12.0 meters and taking about 8.6 seconds.
Turn right, continue for 9.0 meters and taking about 6.5 seconds.
Turn right onto Carlaw Avenue on Carlaw Avenue, continue for 36.1 meters and taking about 26.0 seconds.
Turn left, continue for 105.0 meters and taking about 75.6 seconds.
Turn right, continue for 150.9 meters and taking about 108.7 seconds.
Turn left, continue for 14.1 meters and taking about 10.2 seconds.
Turn slight right, continue for 46.0 meters and taking about 33.1 seconds.
Turn right, continue for 83.2 meters and taking about 59.9 seconds.
Turn left, continue for 57.1 meters and taking about 41.1 seconds.
Turn right, continue for 39.9 meters and taking about 28.7 seconds.
Keep right, continue for 17.5 meters and taking about 12.6 seconds.
Turn left, continue for 152.7 meters and taking about 109.9 seconds.
Keep left, continue for 13.1 meters and taking about 9.4 seconds.
Turn slight left, continue for 71.7 meters and taking about 51.6 seconds.
Keep left, continue for 379.9 meters and taking about 273.5 seconds.
Turn sharp left, continue for 29.3 meters and taking about 21.1 seconds.
Turn right, continue for 1.0 meters and taking about 0.7 seconds.
Turn right, continue for 23.0 meters and taking about 16.6 seconds.
Keep left, continue for 457.2 meters and taking about 329.2 seconds.
Turn left onto Eastern Ave. Connector on Eastern Ave. Connector, continue for 122.5 meters and taking about 88.2 seconds.
Turn left, continue for 37.2 meters and taking about 26.8 seconds.
Turn right, continue for 7.2 meters and taking about 5.2 seconds.
Turn left onto Lawren Harris Square on Lawren Harris Square, continue for 64.5 meters and taking about 46.4 seconds.
Turn right, continue for 6.5 meters and taking about 4.7 seconds.
Turn left, continue for 21.3 meters and taking about 15.3 seconds.
Turn right, continue for 37.4 meters and taking about 26.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
