Head east, continue for 16.4 meters and taking about 11.8 seconds.
Turn slight left, continue for 93.7 meters and taking about 67.5 seconds.
Continue straight, continue for 47.5 meters and taking about 34.2 seconds.
Continue straight, continue for 33.0 meters and taking about 23.8 seconds.
Turn left, continue for 16.5 meters and taking about 11.8 seconds.
Turn right, continue for 378.9 meters and taking about 272.8 seconds.
Continue straight, continue for 7.9 meters and taking about 5.7 seconds.
Continue straight, continue for 93.4 meters and taking about 67.2 seconds.
Keep right, continue for 63.5 meters and taking about 45.7 seconds.
Turn right, continue for 2.7 meters and taking about 2.0 seconds.
Turn left, continue for 105.6 meters and taking about 76.0 seconds.
Keep left, continue for 83.2 meters and taking about 59.9 seconds.
Turn left onto Garrison Crossing on Garrison Crossing, continue for 83.2 meters and taking about 59.9 seconds.
Turn right, continue for 88.6 meters and taking about 63.8 seconds.
Turn right, continue for 211.4 meters and taking about 152.2 seconds.
Keep left, continue for 318.4 meters and taking about 229.2 seconds.
Turn right, continue for 2.2 meters and taking about 1.6 seconds.
Turn left, continue for 22.5 meters and taking about 16.2 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn right, continue for 110.3 meters and taking about 79.4 seconds.
Keep left, continue for 92.2 meters and taking about 66.4 seconds.
Turn slight left, continue for 6.4 meters and taking about 4.6 seconds.
Turn right onto Portland Street on Portland Street, continue for 8.5 meters and taking about 6.1 seconds.
Turn left onto Wellington Street West on Wellington Street West, continue for 39.7 meters and taking about 28.6 seconds.
Arrive at Wellington Street West, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
