Head north, continue for 10.3 meters and taking about 7.4 seconds.
Turn left, continue for 17.5 meters and taking about 12.6 seconds.
Turn right, continue for 338.1 meters and taking about 243.4 seconds.
Turn sharp left, continue for 1.5 meters and taking about 1.0 seconds.
Turn right, continue for 145.4 meters and taking about 104.7 seconds.
Turn left, continue for 28.9 meters and taking about 20.8 seconds.
Turn right, continue for 51.3 meters and taking about 36.9 seconds.
Turn left, continue for 50.3 meters and taking about 36.2 seconds.
Turn right, continue for 21.0 meters and taking about 15.1 seconds.
Turn left, continue for 114.4 meters and taking about 82.4 seconds.
Turn right, continue for 19.1 meters and taking about 13.7 seconds.
Turn left, continue for 20.7 meters and taking about 14.9 seconds.
Turn right, continue for 126.7 meters and taking about 91.2 seconds.
Turn left onto Sirman Lane on Sirman Lane, continue for 93.5 meters and taking about 67.3 seconds.
Turn right onto Mutual Street on Mutual Street, continue for 72.1 meters and taking about 51.9 seconds.
Turn left onto Alexander Street on Alexander Street, continue for 64.2 meters and taking about 46.2 seconds.
Turn right onto Alexander Place on Alexander Place, continue for 117.2 meters and taking about 84.4 seconds.
Turn left, continue for 61.4 meters and taking about 44.2 seconds.
Turn right, continue for 125.2 meters and taking about 90.2 seconds.
Turn left, continue for 28.9 meters and taking about 20.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
