Head northwest, continue for 4.0 meters and taking about 2.9 seconds.
Turn left, continue for 719.8 meters and taking about 518.3 seconds.
Turn right, continue for 12.1 meters and taking about 8.7 seconds.
Keep left, continue for 14.5 meters and taking about 10.5 seconds.
Turn right, continue for 42.6 meters and taking about 30.7 seconds.
Turn left, continue for 7.0 meters and taking about 5.1 seconds.
Turn right, continue for 12.9 meters and taking about 9.3 seconds.
Turn left, continue for 21.0 meters and taking about 15.1 seconds.
Keep left, continue for 57.0 meters and taking about 41.0 seconds.
Turn left, continue for 4.9 meters and taking about 3.6 seconds.
Turn right, continue for 206.8 meters and taking about 148.9 seconds.
Turn left, continue for 16.3 meters and taking about 11.8 seconds.
Turn right, continue for 16.3 meters and taking about 11.7 seconds.
Turn right, continue for 15.4 meters and taking about 11.1 seconds.
Turn left, continue for 134.2 meters and taking about 96.6 seconds.
Continue straight, continue for 7.9 meters and taking about 5.7 seconds.
Continue straight, continue for 425.5 meters and taking about 306.4 seconds.
Turn right, continue for 41.5 meters and taking about 29.9 seconds.
Turn left, continue for 63.5 meters and taking about 45.7 seconds.
Turn left, continue for 132.2 meters and taking about 95.2 seconds.
Turn right, continue for 30.6 meters and taking about 22.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
