Head north, continue for 6.1 meters and taking about 4.4 seconds.
Turn right, continue for 5.4 meters and taking about 3.9 seconds.
Turn left, continue for 112.2 meters and taking about 80.8 seconds.
Turn right, continue for 105.0 meters and taking about 75.6 seconds.
Turn sharp left, continue for 35.8 meters and taking about 25.8 seconds.
Keep right, continue for 16.9 meters and taking about 12.2 seconds.
Turn right, continue for 23.7 meters and taking about 17.1 seconds.
Turn left, continue for 1070.0 meters and taking about 770.4 seconds.
Turn slight left, continue for 61.4 meters and taking about 44.2 seconds.
Turn left, continue for 24.6 meters and taking about 17.7 seconds.
Turn left, continue for 4.5 meters and taking about 3.3 seconds.
Keep right, continue for 83.6 meters and taking about 60.2 seconds.
Turn right, continue for 32.4 meters and taking about 23.3 seconds.
Turn right, continue for 28.9 meters and taking about 20.8 seconds.
Turn right, continue for 37.8 meters and taking about 27.2 seconds.
Turn left, continue for 4.5 meters and taking about 3.3 seconds.
Turn right onto Erindale Avenue on Erindale Avenue, continue for 66.5 meters and taking about 47.9 seconds.
Turn left, continue for 71.1 meters and taking about 51.2 seconds.
Turn right, continue for 84.5 meters and taking about 60.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
