Head north, continue for 28.5 meters and taking about 20.5 seconds.
Turn left onto Corktown Common Trail on Corktown Common Trail, continue for 188.1 meters and taking about 135.5 seconds.
Turn right, continue for 84.1 meters and taking about 60.6 seconds.
Turn right, continue for 6.8 meters and taking about 4.9 seconds.
Turn left onto Front Street East on Front Street East, continue for 441.8 meters and taking about 318.1 seconds.
Turn left, continue for 3.4 meters and taking about 2.5 seconds.
Turn right, continue for 136.9 meters and taking about 98.6 seconds.
Keep right, continue for 110.0 meters and taking about 79.2 seconds.
Turn right, continue for 18.8 meters and taking about 13.6 seconds.
Turn left, continue for 2.0 meters and taking about 1.4 seconds.
Turn right, continue for 55.8 meters and taking about 40.2 seconds.
Turn left, continue for 8.0 meters and taking about 5.8 seconds.
Turn right onto Berkeley Street on Berkeley Street, continue for 25.9 meters and taking about 18.6 seconds.
Turn left, continue for 623.0 meters and taking about 448.6 seconds.
Turn right, continue for 16.8 meters and taking about 12.1 seconds.
Turn left, continue for 39.8 meters and taking about 28.6 seconds.
Keep right, continue for 1.5 meters and taking about 1.0 seconds.
Keep right, continue for 20.9 meters and taking about 15.0 seconds.
Keep right, continue for 32.7 meters and taking about 23.5 seconds.
Turn right, continue for 18.6 meters and taking about 13.4 seconds.
Turn right, continue for 8.6 meters and taking about 6.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
