Head north, continue for 71.8 meters and taking about 51.7 seconds.
Turn right, continue for 6.0 meters and taking about 4.3 seconds.
Turn left onto Howland Road on Howland Road, continue for 181.7 meters and taking about 130.8 seconds.
Turn left onto Langley Avenue on Langley Avenue, continue for 279.6 meters and taking about 201.3 seconds.
Turn right, continue for 4.1 meters and taking about 3.0 seconds.
Turn left, continue for 156.5 meters and taking about 112.7 seconds.
Turn right, continue for 3.3 meters and taking about 2.4 seconds.
Turn slight right, continue for 99.6 meters and taking about 71.7 seconds.
Keep left, continue for 118.2 meters and taking about 85.1 seconds.
Turn slight left, continue for 1.8 meters and taking about 1.3 seconds.
Keep right, continue for 102.2 meters and taking about 73.6 seconds.
Turn left, continue for 174.7 meters and taking about 125.8 seconds.
Keep left, continue for 18.5 meters and taking about 13.3 seconds.
Turn left, continue for 20.5 meters and taking about 14.7 seconds.
Turn right, continue for 63.2 meters and taking about 45.5 seconds.
Turn left, continue for 25.3 meters and taking about 18.2 seconds.
Turn right, continue for 96.0 meters and taking about 69.1 seconds.
Turn left, continue for 207.5 meters and taking about 149.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
