Head west, continue for 157.9 meters and taking about 113.7 seconds.
Turn right, continue for 79.9 meters and taking about 57.5 seconds.
Turn left, continue for 85.3 meters and taking about 61.4 seconds.
Turn right, continue for 151.0 meters and taking about 108.7 seconds.
Turn left, continue for 3.2 meters and taking about 2.3 seconds.
Turn slight left, continue for 23.8 meters and taking about 17.1 seconds.
Turn right, continue for 279.3 meters and taking about 201.1 seconds.
Turn left, continue for 52.1 meters and taking about 37.5 seconds.
Turn right, continue for 88.4 meters and taking about 63.7 seconds.
Turn left, continue for 81.4 meters and taking about 58.6 seconds.
Turn right, continue for 17.3 meters and taking about 12.5 seconds.
Turn slight left, continue for 36.0 meters and taking about 26.0 seconds.
Turn left onto Pullan Place on Pullan Place, continue for 216.7 meters and taking about 156.0 seconds.
Turn right onto John Street on John Street, continue for 24.1 meters and taking about 17.4 seconds.
Turn left, continue for 80.0 meters and taking about 57.6 seconds.
Turn right, continue for 61.7 meters and taking about 44.4 seconds.
Turn left, continue for 79.6 meters and taking about 57.3 seconds.
Turn right, continue for 3.8 meters and taking about 2.7 seconds.
Turn left onto Phoebe Street on Phoebe Street, continue for 41.0 meters and taking about 29.5 seconds.
Arrive at Phoebe Street, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
