Name: Harrison Street, Instruction: Head east on Harrison Street, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Turn left, Distance: 1005.6 meters, Time: 724.0 seconds
Name: -, Instruction: Keep right, Distance: 375.0 meters, Time: 270.0 seconds
Name: -, Instruction: Turn right, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 52.4 meters, Time: 37.8 seconds
Name: Leonard Avenue, Instruction: Turn left onto Leonard Avenue, Distance: 175.4 meters, Time: 126.3 seconds
Name: -, Instruction: Arrive at Leonard Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
