Head west, continue for 529.5 meters and taking about 381.2 seconds.
Turn right, continue for 12.1 meters and taking about 8.7 seconds.
Keep left, continue for 14.5 meters and taking about 10.5 seconds.
Turn right, continue for 42.6 meters and taking about 30.7 seconds.
Turn left, continue for 7.0 meters and taking about 5.1 seconds.
Turn right, continue for 12.9 meters and taking about 9.3 seconds.
Turn left, continue for 21.0 meters and taking about 15.1 seconds.
Keep left, continue for 57.0 meters and taking about 41.0 seconds.
Turn left, continue for 4.9 meters and taking about 3.6 seconds.
Turn right, continue for 212.7 meters and taking about 153.1 seconds.
Turn slight left, continue for 176.4 meters and taking about 127.0 seconds.
Keep left, continue for 20.9 meters and taking about 15.1 seconds.
Turn slight left, continue for 262.1 meters and taking about 188.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
