Head west, continue for 33.7 meters and taking about 24.3 seconds.
Turn left, continue for 35.6 meters and taking about 25.7 seconds.
Continue straight, continue for 62.6 meters and taking about 45.0 seconds.
Turn right, continue for 121.6 meters and taking about 87.5 seconds.
Turn left, continue for 17.9 meters and taking about 12.9 seconds.
Turn slight right, continue for 100.6 meters and taking about 72.4 seconds.
Turn right, continue for 5.2 meters and taking about 3.7 seconds.
Turn left onto Portland Street on Portland Street, continue for 215.2 meters and taking about 154.9 seconds.
Turn right, continue for 6.3 meters and taking about 4.5 seconds.
Turn left, continue for 20.4 meters and taking about 14.7 seconds.
Turn left, continue for 265.0 meters and taking about 190.8 seconds.
Turn left, continue for 8.4 meters and taking about 6.0 seconds.
Turn right, continue for 11.1 meters and taking about 8.0 seconds.
Continue straight onto Dan Leckie Way on Dan Leckie Way, continue for 4.6 meters and taking about 3.3 seconds.
Turn left, continue for 9.5 meters and taking about 6.9 seconds.
Turn right, continue for 112.9 meters and taking about 81.3 seconds.
Turn left, continue for 24.5 meters and taking about 17.6 seconds.
Turn right, continue for 91.6 meters and taking about 66.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
