Head east, continue for 4.2 meters and taking about 3.0 seconds.
Turn left onto Pape Avenue on Pape Avenue, continue for 35.2 meters and taking about 25.3 seconds.
Turn right, continue for 112.7 meters and taking about 81.1 seconds.
Keep left, continue for 502.9 meters and taking about 362.1 seconds.
Keep left, continue for 87.7 meters and taking about 63.1 seconds.
Keep right, continue for 148.3 meters and taking about 106.8 seconds.
Turn left, continue for 12.3 meters and taking about 8.9 seconds.
Turn right, continue for 6.6 meters and taking about 4.8 seconds.
Turn left onto Parkfield Avenue on Parkfield Avenue, continue for 101.7 meters and taking about 73.2 seconds.
Continue straight, continue for 5.8 meters and taking about 4.2 seconds.
Turn right, continue for 131.0 meters and taking about 94.3 seconds.
Turn left, continue for 109.9 meters and taking about 79.1 seconds.
Turn left, continue for 149.6 meters and taking about 107.7 seconds.
Keep right, continue for 19.2 meters and taking about 13.8 seconds.
Turn slight right, continue for 2.1 meters and taking about 1.5 seconds.
Keep left, continue for 69.8 meters and taking about 50.3 seconds.
Keep right, continue for 8.7 meters and taking about 6.2 seconds.
Turn right onto Billings Avenue on Billings Avenue, continue for 21.2 meters and taking about 15.2 seconds.
Turn left, continue for 76.6 meters and taking about 55.2 seconds.
Keep left, continue for 83.2 meters and taking about 59.9 seconds.
Keep left, continue for 90.8 meters and taking about 65.4 seconds.
Keep left, continue for 11.7 meters and taking about 8.4 seconds.
Turn left, continue for 2.2 meters and taking about 1.6 seconds.
Turn right, continue for 93.5 meters and taking about 67.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
