Head east, continue for 10.0 meters and taking about 7.2 seconds.
Turn sharp left, continue for 16.4 meters and taking about 11.8 seconds.
Turn right, continue for 158.8 meters and taking about 114.3 seconds.
Turn left onto Chinatown Mural Lane on Chinatown Mural Lane, continue for 9.2 meters and taking about 6.6 seconds.
Turn right, continue for 35.5 meters and taking about 25.5 seconds.
Turn left, continue for 124.8 meters and taking about 89.8 seconds.
Turn sharp right, continue for 35.5 meters and taking about 25.6 seconds.
Turn sharp left, continue for 240.5 meters and taking about 173.2 seconds.
Turn right onto Ursula Franklin Street on Ursula Franklin Street, continue for 71.2 meters and taking about 51.3 seconds.
Turn left, continue for 4.7 meters and taking about 3.4 seconds.
Turn right, continue for 16.3 meters and taking about 11.7 seconds.
Keep right, continue for 168.9 meters and taking about 121.6 seconds.
Turn left, continue for 43.2 meters and taking about 31.1 seconds.
Turn right, continue for 79.5 meters and taking about 57.2 seconds.
Turn left, continue for 83.0 meters and taking about 59.8 seconds.
Turn right, continue for 326.8 meters and taking about 235.3 seconds.
Keep right, continue for 15.7 meters and taking about 11.3 seconds.
Turn left, continue for 9.4 meters and taking about 6.7 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn right, continue for 111.7 meters and taking about 80.4 seconds.
Turn slight left, continue for 40.2 meters and taking about 28.9 seconds.
Turn left, continue for 8.5 meters and taking about 6.1 seconds.
Turn right, continue for 158.1 meters and taking about 113.8 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn right, continue for 52.2 meters and taking about 37.6 seconds.
Turn right, continue for 13.2 meters and taking about 9.5 seconds.
Turn left, continue for 26.4 meters and taking about 19.0 seconds.
Turn right, continue for 49.2 meters and taking about 35.4 seconds.
Turn left, continue for 82.3 meters and taking about 59.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
