Head west, continue for 590.5 meters and taking about 425.2 seconds.
Turn right, continue for 15.3 meters and taking about 11.0 seconds.
Turn left, continue for 198.2 meters and taking about 142.7 seconds.
Turn right, continue for 123.8 meters and taking about 89.1 seconds.
Turn left, continue for 16.7 meters and taking about 12.0 seconds.
Turn right, continue for 6.9 meters and taking about 5.0 seconds.
Turn left onto Colgate Avenue on Colgate Avenue, continue for 77.0 meters and taking about 55.5 seconds.
Turn right, continue for 7.7 meters and taking about 5.5 seconds.
Turn left, continue for 5.7 meters and taking about 4.1 seconds.
Turn right, continue for 23.0 meters and taking about 16.5 seconds.
Turn slight right, continue for 3.0 meters and taking about 2.2 seconds.
Keep left, continue for 27.2 meters and taking about 19.6 seconds.
Turn slight left, continue for 11.9 meters and taking about 8.6 seconds.
Turn right, continue for 189.0 meters and taking about 136.1 seconds.
Turn right, continue for 26.9 meters and taking about 19.4 seconds.
Turn left, continue for 6.3 meters and taking about 4.5 seconds.
Turn right onto Logan Avenue on Logan Avenue, continue for 24.9 meters and taking about 17.9 seconds.
Turn left, continue for 11.4 meters and taking about 8.2 seconds.
Turn right, continue for 18.6 meters and taking about 13.4 seconds.
Turn left, continue for 152.1 meters and taking about 109.5 seconds.
Turn left, continue for 3.8 meters and taking about 2.8 seconds.
Turn right onto West Avenue on West Avenue, continue for 189.9 meters and taking about 136.7 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn right, continue for 44.0 meters and taking about 31.7 seconds.
Turn left, continue for 104.2 meters and taking about 75.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
