Head south, continue for 9.7 meters and taking about 7.0 seconds.
Turn right, continue for 27.7 meters and taking about 20.0 seconds.
Turn left, continue for 593.1 meters and taking about 427.0 seconds.
Turn left, continue for 75.9 meters and taking about 54.6 seconds.
Turn right onto Centre Avenue on Centre Avenue, continue for 18.7 meters and taking about 13.4 seconds.
Turn left, continue for 84.0 meters and taking about 60.5 seconds.
Keep right, continue for 147.0 meters and taking about 105.9 seconds.
Turn left, continue for 8.2 meters and taking about 5.9 seconds.
Turn right onto Chestnut Street on Chestnut Street, continue for 10.2 meters and taking about 7.3 seconds.
Turn slight left, continue for 7.9 meters and taking about 5.7 seconds.
Turn left, continue for 13.5 meters and taking about 9.7 seconds.
Keep right, continue for 37.6 meters and taking about 27.1 seconds.
Turn slight right, continue for 72.2 meters and taking about 52.0 seconds.
Turn left, continue for 72.3 meters and taking about 52.1 seconds.
Keep right, continue for 89.8 meters and taking about 64.7 seconds.
Turn right, continue for 42.2 meters and taking about 30.4 seconds.
Keep left, continue for 41.2 meters and taking about 29.7 seconds.
Turn left, continue for 39.9 meters and taking about 28.8 seconds.
Turn right, continue for 22.0 meters and taking about 15.8 seconds.
Turn left, continue for 12.4 meters and taking about 8.9 seconds.
Turn right, continue for 146.4 meters and taking about 105.4 seconds.
Turn left onto Temperance Street on Temperance Street, continue for 18.4 meters and taking about 13.3 seconds.
Turn right, continue for 173.1 meters and taking about 124.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
