Head south, continue for 63.9 meters and taking about 46.0 seconds.
Turn left onto Augusta Avenue on Augusta Avenue, continue for 250.2 meters and taking about 180.1 seconds.
Turn right, continue for 201.8 meters and taking about 145.3 seconds.
Turn left, continue for 9.0 meters and taking about 6.4 seconds.
Turn right, continue for 36.2 meters and taking about 26.0 seconds.
Turn left, continue for 7.7 meters and taking about 5.5 seconds.
Turn right, continue for 35.6 meters and taking about 25.6 seconds.
Turn left, continue for 14.7 meters and taking about 10.6 seconds.
Turn right onto Cecil Street on Cecil Street, continue for 130.3 meters and taking about 93.8 seconds.
Turn left, continue for 4.2 meters and taking about 3.0 seconds.
Turn right, continue for 190.4 meters and taking about 137.1 seconds.
Turn slight left, continue for 3.1 meters and taking about 2.2 seconds.
Turn right, continue for 14.6 meters and taking about 10.5 seconds.
Turn left, continue for 179.1 meters and taking about 129.0 seconds.
Keep right, continue for 440.3 meters and taking about 317.0 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn slight left, continue for 20.1 meters and taking about 14.5 seconds.
Turn right, continue for 50.5 meters and taking about 36.4 seconds.
Turn left, continue for 5.4 meters and taking about 3.9 seconds.
Turn left, continue for 22.9 meters and taking about 16.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
