Head north, continue for 74.3 meters and taking about 53.5 seconds.
Turn left, continue for 5.7 meters and taking about 4.1 seconds.
Turn right onto Oak Park Avenue on Oak Park Avenue, continue for 553.7 meters and taking about 398.7 seconds.
Turn left, continue for 5.4 meters and taking about 3.9 seconds.
Turn right, continue for 194.1 meters and taking about 139.7 seconds.
Turn right, continue for 14.4 meters and taking about 10.4 seconds.
Turn left, continue for 165.8 meters and taking about 119.4 seconds.
Keep right, continue for 30.2 meters and taking about 21.7 seconds.
Turn right, continue for 10.4 meters and taking about 7.5 seconds.
Turn slight right, continue for 17.7 meters and taking about 12.8 seconds.
Turn slight right, continue for 85.7 meters and taking about 61.7 seconds.
Turn right, continue for 178.6 meters and taking about 128.6 seconds.
Turn right, continue for 176.6 meters and taking about 127.1 seconds.
Turn right, continue for 77.4 meters and taking about 55.7 seconds.
Turn left, continue for 203.3 meters and taking about 146.4 seconds.
Keep right, continue for 84.1 meters and taking about 60.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
